Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,22,28,7,5,18,33,16,18,14,22
Albania,421,324,213,103,101,67,60,64,76,95
Argentina,15,14,10,8,D,D,D,-,D,D
Armenia,179,149,202,168,114,72,51,47,21,19
Azerbaijan,23,12,14,9,11,16,6,10,11,D
Bangladesh,100,81,50,35,39,57,65,52,91,93
Belarus,76,80,73,55,69,71,72,54,35,25
Benin,D,D,4,D,D,5,10,4,10,D
Bosnia and Herzegovina,18,6,17,D,4,D,D,6,D,D
Brazil,33,31,22,13,18,13,14,5,4,7
Bulgaria,67,48,42,11,19,16,5,10,D,6
Burkina Faso,20,23,39,48,34,53,58,61,52,71
Burma,129,126,108,72,60,62,33,30,20,17
Burundi,13,12,15,4,8,10,12,31,18,28
Cambodia,13,12,12,9,9,7,6,D,D,-
Cameroon,205,161,211,161,160,150,136,110,92,113
Canada,9,D,11,5,9,4,D,D,-,5
Central African Republic,13,13,16,5,D,4,8,D,D,D
Chad,21,24,40,24,21,25,4,7,D,4
"China, People's Republic","4,552","3,457","3,449","3,419","4,299","5,000","4,510","3,975","3,610","3,103"
Colombia,683,548,368,187,175,97,67,64,56,25
"Congo, Democratic Republic",28,27,18,12,13,14,25,25,21,8
"Congo, Republic",73,70,49,50,49,42,41,21,15,29
Cote d'Ivoire,135,92,96,54,62,56,58,48,35,17
Cuba,26,23,15,8,13,6,6,10,11,7
Djibouti,D,D,5,D,4,5,9,D,12,D
Dominican Republic,5,D,D,9,7,4,4,11,6,9
Ecuador,10,13,6,7,18,15,25,19,44,43
Egypt,235,185,174,200,252,277,293,241,138,149
El Salvador,139,172,120,123,137,156,181,182,305,753
Eritrea,120,120,198,173,461,331,234,162,138,152
Estonia,13,D,8,D,-,-,D,-,D,-
Ethiopia,352,315,410,359,446,406,387,315,248,181
Fiji,24,24,29,15,17,10,D,D,-,-
Gambia,59,53,49,30,38,70,74,75,53,44
Georgia,27,26,24,24,24,18,10,14,8,9
Ghana,8,12,7,5,7,7,10,14,36,65
Greece,12,-,-,D,D,D,D,8,D,D
Guatemala,136,169,159,131,145,192,149,174,373,632
Guinea,325,242,194,159,144,124,92,58,40,49
Guyana,15,D,-,D,4,4,7,D,D,-
Haiti,586,530,410,99,44,34,54,51,63,27
Honduras,86,73,47,56,58,73,93,154,309,620
India,359,272,263,206,208,250,311,370,299,309
Indonesia,211,195,157,94,97,98,75,43,25,11
Iran,108,71,92,63,87,88,57,58,37,58
Iraq,277,410,364,115,101,91,52,80,54,26
Israel,18,16,17,8,12,5,D,D,D,-
Jamaica,4,D,D,5,6,11,5,5,7,6
Jordan,16,19,20,15,D,11,13,6,D,4
Kazakhstan,31,14,20,17,13,13,28,31,16,18
Kenya,51,60,97,75,81,69,38,46,21,10
Kosovo,D,D,7,5,12,32,34,29,18,18
Kyrgyzstan,7,6,7,8,14,25,36,35,48,49
Laos,6,4,13,6,D,D,D,D,D,-
Lebanon,29,20,9,23,14,21,17,4,D,7
Liberia,53,32,31,18,16,10,10,12,6,6
Macedonia,27,11,15,8,7,D,5,4,D,D
Mali,60,28,71,67,72,68,74,57,33,25
Mauritania,174,94,95,39,42,26,39,23,28,12
Mexico,49,73,65,38,92,117,154,120,204,464
Moldova,7,16,22,41,67,88,73,70,41,32
Mongolia,49,42,28,51,48,37,40,20,8,8
Morocco,4,23,4,D,D,6,-,4,6,D
Nepal,131,152,172,217,310,379,385,296,256,265
Nicaragua,23,23,19,12,18,9,17,16,19,19
Niger,10,8,14,4,5,8,D,D,7,D
Nigeria,39,28,29,29,21,26,29,58,65,60
Niue,D,11,D,-,5,D,D,D,D,-
Pakistan,140,142,105,95,116,150,122,91,53,70
Peru,54,52,39,23,20,14,8,17,20,17
Philippines,9,15,13,5,5,8,4,D,D,D
Romania,31,56,31,16,9,8,38,20,27,37
Russia,209,201,128,135,170,155,192,116,100,78
Rwanda,22,20,24,21,13,20,28,44,15,18
Senegal,30,18,25,13,19,25,19,16,20,7
Serbia and Montenegro (former),152,152,148,98,70,45,49,30,18,19
Sierra Leone,48,47,29,19,14,20,11,9,5,5
Somalia,109,101,168,188,189,82,81,118,169,153
South Africa,8,D,D,D,13,D,D,D,D,-
Soviet Union (former),191,173,154,168,238,255,228,157,159,129
Sri Lanka,89,87,112,90,100,101,96,75,47,34
Sudan,19,30,40,28,29,36,32,14,19,23
Syria,23,11,18,11,6,28,46,63,101,75
Tajikistan,5,D,8,9,10,8,13,13,7,10
Tanzania,16,5,6,D,7,6,5,D,D,D
Togo,82,63,39,30,28,13,14,9,10,D
Turkey,23,11,18,6,11,22,D,4,14,4
Turkmenistan,12,15,14,6,7,9,D,4,4,D
Uganda,50,33,28,19,21,24,27,22,11,15
Ukraine,40,59,26,59,45,52,55,52,41,47
Uzbekistan,74,67,65,48,62,36,54,37,24,14
Venezuela,317,306,192,143,159,100,76,92,34,27
Vietnam,10,7,10,8,12,10,4,D,D,D
Yemen,8,8,7,7,28,14,9,18,7,9
Zimbabwe,97,68,69,48,39,34,20,7,D,D
All other countries,131,136,111,96,109,101,88,68,46,51
Unknown 1,84,66,90,92,115,92,44,D,D,12
Total,"12,859","10,892","10,300","8,519","10,138","10,575","9,767","8,672","8,184","8,726"
