Table 15.,,,,
"REFUGEE ARRIVALS BY RELATIONSHIP TO PRINCIPAL APPLICANT AND GENDER, AGE, AND MARITAL STATUS:",,,,
FISCAL YEAR 2008,,,,
,,,,
,,Principal Applicants,Dependents,
Characteristic,Total,,Spouses,Children
,,,,
GENDER,,,,
     Total,"60,108","25,355","10,406","24,347"
Male,"30,939","16,807","1,471","12,661"
Female,"29,169","8,548","8,935","11,686"
,,,,
AGE,,,,
     Total,"60,108","25,355","10,406","24,347"
Under 1 year,404,11,-,393
1 to 4 years,"4,967",74,-,"4,893"
5 to 9 years,"6,309",157,-,"6,152"
10 to 14 years,"6,059",288,-,"5,771"
15 to 19 years,"6,708","1,161",86,"5,461"
20 to 24 years,"6,619","4,180",850,"1,589"
25 to 29 years,"5,887","4,114","1,720",53
30 to 34 years,"5,019","3,252","1,745",22
35 to 39 years,"4,446","2,832","1,608",6
40 to 44 years,"3,612","2,284",D,D
45 to 49 years,"2,932","1,875",D,D
50 to 54 years,"2,068","1,386",D,D
55 to 59 years,"1,600","1,107",493,-
60 to 64 years,"1,212",864,348,-
65 to 74 years,"1,604","1,204",400,-
75 years and over,662,566,96,-
,,,,
BROAD AGE GROUPS,,,,
     Total,"60,108","25,355","10,406","24,347"
Under 16 years,"19,023",641,-,"18,382"
16 to 20 years,"6,856","1,480",188,"5,188"
21 years and over,"34,229","23,234","10,218",777
,,,,
MARITAL STATUS,,,,
     Total,"60,108","25,355","10,406","24,347"
Single,"33,970","9,688",24,"24,258"
Married   ,"23,010","12,632","10,362",16
Widowed   ,"1,906","1,900",3,3
Divorced/separated,"1,077","1,056",5,16
Unknown   ,145,79,12,54
D Data withheld to limit disclosure.,,,,
#NAME?,,,,
Note: Excludes Amerasian immigrants,,,,
"Source: U.S. Department of State, Bureau of Population, Refugees (PRM), and Migration, Worldwide Refugee Admissions Processing System (WRAPS).",,,,
