Table 18.,,,,,,,,,,
"INDIVIDUALS GRANTED ASYLUM AFFIRMATIVELY BY RELATIONSHIP TO PRINCIPAL APPLICANT AND SEX, AGE, AND MARITAL STATUS: FISCAL YEAR 2013",,,,,,,,,,
,,,,,,Last Year's Data,,,,
,,Principal applicants,Dependents,,,,,Principal applicants,Dependents,
Characteristic,Total,,Spouses,Children,,Characteristic,Total,,Spouses,Children
SEX,,,,,,GENDER,,,,
Total                                 ,"15,266","10,574","2,030","2,662",,Total                                 ,"11,244","8,730","1,147","1,367"
Male                                  ,"7,748","5,253","1,099","1,396",,Male                                  ,"5,870","4,705",486,679
Female                                ,"7,518","5,321",931,"1,266",,Female                                ,"5,374","4,025",661,688
AGE,,,,,,AGE,,,,
Total                                 ,"15,266","10,574","2,030","2,662",,Total                                 ,"11,244","8,730","1,147","1,367"
Under 1 year                          ,10,-,-,10,,Under 1 year                          ,2,-,-,2
1 to 4 years                          ,542,3,-,539,,1 to 4 years                          ,217,1,-,216
5 to 9 years                          ,820,4,-,816,,5 to 9 years                          ,394,9,-,385
10 to 14 years                        ,720,24,-,696,,10 to 14 years                        ,396,36,-,360
15 to 19 years                        ,868,360,D,D,,15 to 19 years                        ,772,457,5,310
20 to 24 years                        ,"1,918","1,695",D,D,,20 to 24 years                        ,"2,035","1,836",127,72
25 to 29 years                        ,"2,687","2,304",383,-,,25 to 29 years                        ,"2,139","1,896",227,16
30 to 34 years                        ,"2,351","1,898",453,-,,30 to 34 years                        ,"1,604","1,344",254,6
35 to 39 years                        ,"1,720","1,378",342,-,,35 to 39 years                        ,"1,259","1,080",179,-
40 to 44 years                        ,"1,448","1,165",283,-,,40 to 44 years                        ,971,830,141,-
45 to 49 years                        ,"1,001",792,209,-,,45 to 49 years                        ,671,572,99,-
50 to 54 years                        ,513,413,100,-,,50 to 54 years                        ,378,324,54,-
55 to 59 years                        ,292,241,51,-,,55 to 59 years                        ,187,161,26,-
60 to 64 years                        ,145,112,33,-,,60 to 64 years                        ,107,87,20,-
65 to 74 years                        ,162,127,35,-,,65 to 74 years                        ,84,71,13,-
75 years and over,69,58,11,-,,75 years and over,28,26,2,-
BROAD AGE GROUPS,,,,,,BROAD AGE GROUPS,,,,
Total                                 ,"15,266","10,574","2,030","2,662",,Total                                 ,"11,244","8,730","1,147","1,367"
Under 16 years                        ,"2,373",65,-,"2,308",,Under 16 years                        ,"1,163",89,-,"1,074"
16 to 20 years                        ,845,514,7,324,,16 to 20 years                        ,927,674,10,243
21 years and over                     ,"12,048","9,995","2,023",30,,21 years and over                     ,"9,154","7,967","1,137",50
MARITAL STATUS,,,,,,MARITAL STATUS,,,,
Total                                 ,"15,266","10,574","2,030","2,662",,Total                                 ,"11,244","8,730","1,147","1,367"
Single                                ,"7,178","4,516",-,"2,662",,Single                                ,"5,625","4,258",-,"1,367"
Married                               ,"7,277","5,247","2,030",-,,Married                               ,"4,992","3,846","1,146",-
Widowed                               ,230,230,-,-,,Widowed                               ,160,160,-,-
Divorced/separated                    ,576,576,-,-,,Divorced/separated                    ,463,463,-,-
Unknown                               ,5,5,-,-,,Unknown                               ,4,3,1,-
D Data withheld to limit disclosure.,,,,,,D Data withheld to limit disclosure.,,,,
-  Represents zero.,,,,,,-  Represents zero.,,,,
Note: Data not available for individuals granted asylum defensively.,,,,,,Note: Data not available for individuals granted asylum defensively.,,,,
"Source: U.S. Department of Homeland Security, U.S. Citizenship and Immigration Service (USCIS), Refugee, Asylum, and Parole System (RAPS).",,,,,,"Source: U.S. Department of Homeland Security, U.S. Citizenship and Immigration Service (USCIS), Refugee, Asylum, and Parole System (RAPS).",,,,
