Characteristic,Total, Applicants,Spouses,Children
SEX,,,,
Total,"84,989","31,563","12,526","40,900"
Female,"41,728","11,872","10,159","19,697"
Male,"43,261","19,691","2,367","21,203"
AGE,,,,
Total,"84,989","31,563","12,526","40,900"
Under 1 year                        ,323,4,-,319
1 to 4 years                          ,"9,678",129,-,"9,549"
5 to 9 years                      ,"11,900",139,-,"11,761"
10 to 14 years                     ,"10,364",388,-,"9,976"
15 to 19 years                      ,"8,632","1,272",108,"7,252"
20 to 24 years                       ,"8,148","5,067","1,114","1,967"
25 to 29 years                    ,"7,851","5,400","2,389",62
30 to 34 years                 ,"7,700","5,064","2,631",5
35 to 39 years                    ,"5,960","3,922","2,033",5
40 to 44 years                   ,"4,355","2,949","1,406",-
45 to 49 years                   ,"3,137","2,165",D,D
50 to 54 years                    ,"2,228","1,590",D,D
55 to 59 years                 ,"1,573","1,081",492,-
60 to 64 years                   ,"1,234",882,352,-
65 to 74 years           ,"1,435","1,104",331,-
75 years and over                     ,471,407,64,-
BROAD AGE GROUPS,,,,
Total,"84,989","31,563","12,526","40,900"
Under 16 years,"34,113",801,-,"33,312"
16 to 20 years,"8,613","1,741",275,"6,597"
21 years and over,"42,263","29,021","12,251",991
MARITAL STATUS,,,,
Total,"84,989","31,563","12,526","40,900"
Married 1,"28,242","15,712","12,521",9
Single 2,"52,578","11,694",5,"40,879"
Widowed,"2,253",D,-,D
Divorced/separated,"1,907","1,898",-,9
Unknown,9,D,-,D
