"character","arrival_total","arrival_applicants","arrival_spouses","arrival_children","arrival_parents","arrival_siblings","arrival_other"
"     Total","53,738","18,233","8,510","24,968","205","797","1,025"
"Under 1 year","656","-","-","607","-","-","49"
"1 to 4 years","5,183","9","-","4,998","-","5","171"
"5 to 9 years","6,411","42","-","6,154","-","43","172"
"10 to 14 years","5,656","74","-","5,254","-","135","193"
"15 to 19 years","6,857","531","287","5,379","-","370","290"
"20 to 24 years","6,216","2,565","933","2,465","-","166","87"
"25 to 29 years","4,092","2,711","1,249","90","-","39","3"
"30 to 34 years","4,046","2,618","1,396","11","-","18","3"
"35 to 39 years","3,595","2,377","1,199","3","D","14","D"
"40 to 44 years","2,868","1,835","1,025","D","-","4","D"
"45 to 49 years","2,177","1,390","780","D","D","-","D"
"50 to 54 years","1,641","1,037","582","4","16","D","D"
"55 to 59 years","1,251","866","368","-","14","-","3"
"60 to 64 years","986","681","265","-","33","-","7"
"65 to 74 years","1,537","1,059","358","-","97","D","D"
"75 years and over","566","438","68","-","39","D","D"
