"character","arrival_total_2012","arrival_applicants_2012","arrival_spouses_2012","arrival_children_2012"
"Total","58,179","27,355","9,532","21,292"
"Under 1 year                        ","162","3","-","159"
"1 to 4 years                          ","5,042","57","-","4,985"
"5 to 9 years                      ","5,528","113","-","5,415"
"10 to 14 years                     ","4,974","192","-","4,782"
"15 to 19 years                      ","5,426","853","64","4,509"
"20 to 24 years                       ","7,444","4,963","1,082","1,399"
"25 to 29 years                    ","7,630","5,711","1,898","21"
"30 to 34 years                 ","5,861","4,240","1,607","14"
"35 to 39 years                    ","4,081","2,783","D","D"
"40 to 44 years                   ","3,365","2,272","D","D"
"45 to 49 years                   ","2,533","1,708","825","-"
"50 to 54 years                    ","1,876","1,281","D","D"
"55 to 59 years                 ","1,392","953","439","-"
"60 to 64 years                   ","1,049","772","277","-"
"65 to 74 years           ","1,289","993","296","-"
"75 years and over                     ","527","461","66","-"
