Characteristic,arrival_total_2006,arrival_applicants_2006,arrival_spouses_2006,arrival_children_2006,arrival_parents_2006,arrival_siblings_2006,arrival_others_2016
Total,"41,150","14,961","6,055","18,711",70,570,783
Male,"21,188","8,679","1,814","9,970",11,319,395
Female,"19,962","6,282","4,241","8,741",59,251,388
Under 1 year,339,-,-,306,-,-,33
1 to 4 years,"3,160",23,-,"2,985",-,4,148
5 to 9 years,"4,117",62,-,"3,915",-,26,114
10 to 14 years,"4,484",90,-,"4,133",-,101,160
15 to 19 years,"6,016",479,102,"4,936",-,262,237
20 to 24 years,"5,371","2,309",572,"2,307",-,131,52
25 to 29 years,"3,267","2,252",875,113,-,22,5
30 to 34 years,"3,098","2,096",978,D,-,13,D
35 to 39 years,"2,756","1,829",917,D,D,5,D
40 to 44 years,"2,186","1,420",760,D,-,D,D
45 to 49 years,"1,776","1,134",635,D,D,D,-
50 to 54 years,"1,283",851,425,-,4,-,3
55 to 59 years,"1,013",701,304,-,D,-,D
60 to 64 years,769,570,184,-,12,-,3
65 to 74 years,"1,086",813,238,-,21,D,D
75 years and over,429,332,65,-,22,D,D
Under 16 years,"13,061",202,-,"12,209",-,165,485
16 to 20 years,"6,423",704,181,"5,021",-,277,240
21 years and over,"21,666","14,055","5,874","1,481",70,128,58
Single,"24,555","4,655",17,"18,594",3,535,751
Married   ,"14,457","8,369","6,034",25,18,D,D
Widowed   ,"1,178","1,101",D,8,45,D,21
Divorced/separated,805,767,D,26,4,5,D
Unknown   ,155,69,D,58,-,26,D
