Characteristic,arrival_total_2013,arrival_applicants_2013,arrival_spouses_2013,arrival_children_2013,,,
Total,"69,909","31,698","11,278","26,933",,,
Male,"37,792","21,891","1,731","14,170",,,
Female,"32,117","9,807","9,547","12,763",,,
Under 1 year                        ,180,D,-,D,,,
1 to 4 years                          ,"6,313",75,-,"6,238",,,
5 to 9 years                      ,"7,145",111,-,"7,034",,,
10 to 14 years                     ,"6,331",270,-,"6,061",,,
15 to 19 years                      ,"6,347",901,61,"5,385",,,
20 to 24 years                       ,"7,730","4,808",958,"1,964",,,
25 to 29 years                    ,"8,402","6,395","1,964",43,,,
30 to 34 years                 ,"6,926","4,943","1,970",13,,,
35 to 39 years                    ,"5,166","3,530","1,627",9,,,
40 to 44 years                   ,"4,377","2,902","1,472",3,,,
45 to 49 years                   ,"3,108","2,083",D,D,,,
50 to 54 years                    ,"2,396","1,623",D,D,,,
55 to 59 years                 ,"1,751","1,200",551,-,,,
60 to 64 years                   ,"1,347",938,409,-,,,
65 to 74 years           ,"1,762","1,384",D,D,,,
75 years and over                     ,628,D,D,-,,,
Under 16 years                        ,"21,177",538,D,D,,,
16 to 20 years                        ,"6,710","1,417",D,D,,,`
21 years and over                     ,"42,022","29,743","11,125","1,154",,,
Single,"39,392","12,494",D,D,,,
Married,"26,789","15,502",D,D,,,
Widowed,"1,933",D,-,D,,,
Divorced/Separated,"1,761","1,756",-,5,,,
Unknown,34,D,-,D,,,
