Characteristic,arrival_Total,arrival_applicants,arrival_spouses,arrival_children
Total,"84,989","31,563","12,526","40,900"
Female,"41,728","11,872","10,159","19,697"
Male,"43,261","19,691","2,367","21,203"
<1 Years,323,4,-,319
1-4 Years,"9,678",129,-,"9,549"
5-9 Years,"11,900",139,-,"11,761"
10-14 Years,"10,364",388,-,"9,976"
15-19 Years,"8,632","1,272",108,"7,252"
20-24 Years,"8,148","5,067","1,114","1,967"
25-29 Years,"7,851","5,400","2,389",62
30-34 Years,"7,700","5,064","2,631",5
35-39 Years,"5,960","3,922","2,033",5
40-44 Years,"4,355","2,949","1,406",-
45-49 Years,"3,137","2,165",D,D
50-54 Years,"2,228","1,590",D,D
55-59 Years,"1,573","1,081",492,-
60-64 Years,"1,234",882,352,-
65-69 Years,"1,435","1,104",331,-
>75 Years,471,407,64,-
<16 Years,"34,113",801,-,"33,312"
16-20 Years,"8,613","1,741",275,"6,597"
>21 Years,"42,263","29,021","12,251",991
Married 1,"28,242","15,712","12,521",9
Single 2,"52,578","11,694",5,"40,879"
Widowed,"2,253",D,-,D
Divorced/separated,"1,907","1,898",-,9
Unknown,9,D,-,D
