"Characteristic","asylum_total_2016","asylum_applicants_2016","asylum_spouses_2016","asylum_children_2016"
"Total","11,729","8,943","1,186","1,600"
"Under 1 year","-","-","-","-"
"1 to 4 years","250","22","-","228"
"5 to 9 years","680","184","-","496"
"10 to 14 years","1,246","814","-","432"
"15 to 19 years","2,797","2,489","-","308"
"20 to 24 years","798","630","D","D"
"25 to 29 years","1,328","1,144","D","D"
"30 to 34 years","1,402","1,114","288","-"
"35 to 39 years","1,072","838","234","-"
"40 to 44 years","809","640","169","-"
"45 to 49 years","556","436","120","-"
"50 to 54 years","326","261","65","-"
"55 to 59 years","188","149","39","-"
"60 to 64 years","110","92","18","-"
"65 to 74 years","130","98","32","-"
"75 years and over","37","32","5","-"
